,value,label
5599,Byron Hoxton,Byron Hoxton
4480,Byron Islington,Byron Islington
3266,Byron Kensington,Byron Kensington
4864,Byron Kings Road,Byron Kings Road
9786,Byron Northcote Road,Byron Northcote Road
4696,Byron Old Brompton Road,Byron Old Brompton Road
4616,Byron Oxford Circus,Byron Oxford Circus
1186,Byron Putney,Byron Putney
6157,Byron Shoreditch,Byron Shoreditch
6321,Byron Store Street,Byron Store Street
4873,Byron Strand,Byron Strand
4303,Byron The O2,Byron The O2
9208,Byron Wandsworth,Byron Wandsworth
4736,Byron Westbourne Grove,Byron Westbourne Grove
7766,Byzantium,Byzantium
6144,C & R Izakaya,C & R Izakaya
11217,C London,C London
7476,C&B Exchange Square,C&B Exchange Square
8611,C&B Fleet Place,C&B Fleet Place
7323,C&B Lime Street,C&B Lime Street
4162,C&R Cafe,C&R Cafe
7067,C'Alice - Wine Food Talk,C'Alice - Wine Food Talk
3521,CAU Blackheath,CAU Blackheath
3532,CAU St Katharine Docks,CAU St Katharine Docks
4086,CAU Wimbledon,CAU Wimbledon
504,CERU,CERU
2488,CHIK'N,CHIK'N
2938,CJ's Cafe,CJ's Cafe
1942,COYA Angel Court,COYA Angel Court
3056,COYA Mayfair,COYA Mayfair
7394,CREAM,CREAM
291,CUT at 45 Park Lane,CUT at 45 Park Lane
9991,Ca'puccino,Ca'puccino
10027,Ca'puccino at Harrods London,Ca'puccino at Harrods London
11186,Cabana,Cabana
4334,Cabana Brixton,Cabana Brixton
3230,Cabana Covent Garden,Cabana Covent Garden
11107,Cabana Islington,Cabana Islington
3685,Cabana Westfield Stratford,Cabana Westfield Stratford
11281,Cabana Westfield White City,Cabana Westfield White City
10885,Cabin,Cabin
7073,Cable Cafe Bar,Cable Cafe Bar
855,Caboose,Caboose
1826,Cabotte Restaurant,Cabotte Restaurant
1755,Cabrera,Cabrera
4119,Cacciari's,Cacciari's
489,Cacciari's Italian Pizzeria & Restaurant,Cacciari's Italian Pizzeria & Restaurant
550,Cacio e Pepe,Cacio e Pepe
1372,Caco & Co Shepherds Bush,Caco & Co Shepherds Bush
7246,Caesar Restaurant,Caesar Restaurant
8057,Cafe & Tapas,Cafe & Tapas
5399,Cafe 1001,Cafe 1001
1632,Cafe 101,Cafe 101
1185,Cafe 12,Cafe 12
7206,Cafe 209,Cafe 209
739,Cafe 338,Cafe 338
8006,Cafe 43,Cafe 43
3402,Cafe @ V&A Museum,Cafe @ V&A Museum
1566,Cafe Also,Cafe Also
1597,Cafe Amici,Cafe Amici
821,Cafe Amisha,Cafe Amisha
2694,Cafe Anglais,Cafe Anglais
8579,Cafe Arena,Cafe Arena
9116,Cafe Aroma,Cafe Aroma
10269,Cafe Bangla,Cafe Bangla
5655,Cafe Bar,Cafe Bar
7523,Cafe Barcelona,Cafe Barcelona
1231,Cafe Beam,Cafe Beam
5281,Cafe Below,Cafe Below
3091,Cafe Blanca,Cafe Blanca
4146,Cafe Boheme,Cafe Boheme
2359,Cafe Bonito,Cafe Bonito
1787,Cafe Brazil,Cafe Brazil
10788,Cafe Brera,Cafe Brera
8895,Cafe Brera Riverside,Cafe Brera Riverside
10738,Cafe Brood,Cafe Brood
7907,Cafe Brunch,Cafe Brunch
9532,Cafe Buzz,Cafe Buzz
2142,Cafe Caesar,Cafe Caesar
2277,Cafe Caribbean,Cafe Caribbean
3018,Cafe Caritas,Cafe Caritas
689,Cafe Che-Men,Cafe Che-Men
2897,Cafe Chic,Cafe Chic
4796,Cafe Chicchi,Cafe Chicchi
4964,Cafe Chula,Cafe Chula
7788,Cafe Coco,Cafe Coco
863,Cafe Continente,Cafe Continente
3781,Cafe Creme,Cafe Creme
9122,Cafe Damoa,Cafe Damoa
7253,Cafe Deco,Cafe Deco
8612,Cafe Del Mundo,Cafe Del Mundo
1527,Cafe Del Parc,Cafe Del Parc
7989,Cafe Deluxe,Cafe Deluxe
3765,Cafe Di Livio,Cafe Di Livio
5226,Cafe Diana,Cafe Diana
2756,Cafe Divina,Cafe Divina
6323,Cafe Dylan Dog,Cafe Dylan Dog
4380,Cafe East,Cafe East
2346,Cafe El buen Gusto,Cafe El buen Gusto
2763,Cafe Eltham,Cafe Eltham
1424,Cafe Fleur,Cafe Fleur
4130,Cafe Football,Cafe Football
4029,Cafe Forever,Cafe Forever
398,Cafe Forum,Cafe Forum
10817,Cafe Fred,Cafe Fred
7638,Cafe Fresco,Cafe Fresco
7703,Cafe G.,Cafe G.
1514,Cafe Green,Cafe Green
8301,Cafe Grove,Cafe Grove
6269,Cafe Helen,Cafe Helen
7993,Cafe House,Cafe House
5329,Cafe Ishaq,Cafe Ishaq
9290,Cafe Italia,Cafe Italia
5847,Cafe Japan,Cafe Japan
5768,Cafe Joe's,Cafe Joe's
6212,Cafe Karahi,Cafe Karahi
6980,Cafe Kick,Cafe Kick
4733,Cafe Koha Bar,Cafe Koha Bar
4504,Cafe La Cigale,Cafe La Cigale
3582,Cafe La Diva,Cafe La Diva
10833,Cafe Laville,Cafe Laville
3209,Cafe Leemoo,Cafe Leemoo
7547,Cafe Lolita,Cafe Lolita
372,Cafe Loren,Cafe Loren
6208,Cafe Louche,Cafe Louche
8507,Cafe Luna,Cafe Luna
2586,Cafe Mandalay,Cafe Mandalay
996,Cafe Maya,Cafe Maya
6427,Cafe Med,Cafe Med
8253,Cafe Med - St Johns Street,Cafe Med - St Johns Street
5368,Cafe Mexicali,Cafe Mexicali
2711,Cafe Mexicana,Cafe Mexicana
4219,Cafe Miami,Cafe Miami
5441,Cafe Mignon,Cafe Mignon
5799,Cafe Mimosa,Cafe Mimosa
6200,Cafe Mish,Cafe Mish
11600,Cafe Mode,Cafe Mode
10073,Cafe Mojito,Cafe Mojito
461,Cafe Monico,Cafe Monico
3537,Cafe Murano - Covent Garden,Cafe Murano - Covent Garden
3407,Cafe Murano St James,Cafe Murano St James
6428,Cafe Nawaz,Cafe Nawaz
5812,Cafe Nile,Cafe Nile
8189,Cafe Noir,Cafe Noir
7633,Cafe Nora,Cafe Nora
762,Cafe Nouf Restaurant,Cafe Nouf Restaurant
3777,Cafe Nouvelle,Cafe Nouvelle
7996,Cafe Now,Cafe Now
1932,Cafe Nuvo,Cafe Nuvo
9054,Cafe OTO,Cafe OTO
1077,Cafe Ole,Cafe Ole
2843,Cafe Olive,Cafe Olive
7713,Cafe Oscars,Cafe Oscars
3235,Cafe Pacifico,Cafe Pacifico
10906,Cafe Panini,Cafe Panini
2163,Cafe Paolo,Cafe Paolo
8128,Cafe Paradou,Cafe Paradou
2484,Cafe Parco,Cafe Parco
862,Cafe Parisienne,Cafe Parisienne
9324,Cafe Persia,Cafe Persia
4923,Cafe Phillies,Cafe Phillies
6264,Cafe Piazza,Cafe Piazza
7124,Cafe Plaka,Cafe Plaka
6692,Cafe Plum,Cafe Plum
9416,Cafe Pomodoro,Cafe Pomodoro
5892,Cafe Portugal,Cafe Portugal
1308,Cafe Pronto,Cafe Pronto
5879,Cafe Provencal,Cafe Provencal
7108,Cafe Raj,Cafe Raj
8837,Cafe Rasa Malaysia,Cafe Rasa Malaysia
8826,Cafe Rimini,Cafe Rimini
2243,Cafe Rio,Cafe Rio
789,Cafe Riva,Cafe Riva
1506,Cafe Roma,Cafe Roma
3028,Cafe Romano,Cafe Romano
2261,Cafe Rosi,Cafe Rosi
6575,Cafe Rossi,Cafe Rossi
9391,Cafe Rouge,Cafe Rouge
11535,Cafe Rouge - 02,Cafe Rouge - 02
11149,Cafe Rouge - Canary Wharf,Cafe Rouge - Canary Wharf
6155,Cafe Rouge - Dulwich,Cafe Rouge - Dulwich
3528,Cafe Rouge - Greenwich,Cafe Rouge - Greenwich
10816,Cafe Rouge - Hampstead,Cafe Rouge - Hampstead
285,Cafe Rouge - Hays Galleria,Cafe Rouge - Hays Galleria
10349,Cafe Rouge - Highgate,Cafe Rouge - Highgate
11201,Cafe Rouge - Kingsway,Cafe Rouge - Kingsway
4544,Cafe Rouge - Southgate,Cafe Rouge - Southgate
3513,Cafe Rouge - St Katharine Docks,Cafe Rouge - St Katharine Docks
11279,Cafe Rouge - St Pauls,Cafe Rouge - St Pauls
4108,Cafe Rouge - Victoria,Cafe Rouge - Victoria
4083,Cafe Rouge Blackheath,Cafe Rouge Blackheath
11049,Cafe Rouge Euston Station,Cafe Rouge Euston Station
4854,Cafe Rouge Kew Bridge,Cafe Rouge Kew Bridge
3518,Cafe Rouge Wellington Street,Cafe Rouge Wellington Street
806,Cafe Route - Dalston Junction,Cafe Route - Dalston Junction
5993,Cafe Royal,Cafe Royal
1032,Cafe Saffron,Cafe Saffron
9322,Cafe San Remo,Cafe San Remo
8422,Cafe Shelleys,Cafe Shelleys
10437,Cafe Sol,Cafe Sol
8017,Cafe Sou,Cafe Sou
116,Cafe Spice Namaste,Cafe Spice Namaste
2226,Cafe St Germain,Cafe St Germain
10891,Cafe TPT,Cafe TPT
1219,Cafe Tamra,Cafe Tamra
1013,Cafe Tarte,Cafe Tarte
1824,Cafe Tiffin,Cafe Tiffin
7070,Cafe Toscana,Cafe Toscana
9236,Cafe Toulous,Cafe Toulous
7358,Cafe Tramp,Cafe Tramp
8132,Cafe Vakko,Cafe Vakko
1125,Cafe Van Gogh,Cafe Van Gogh
6403,Cafe Verona,Cafe Verona
3075,Cafe Viva,Cafe Viva
6430,Cafe Z Bar,Cafe Z Bar
9012,Cafe at IWM London,Cafe at IWM London
1218,Cafe de Fred,Cafe de Fred
3348,Cafe de Nata,Cafe de Nata
10495,Cafe de Pierre,Cafe de Pierre
1536,Cafe de Provence,Cafe de Provence
2596,Cafe del Marsh,Cafe del Marsh
2297,Cafe from Crisis,Cafe from Crisis
6190,Cafe prego,Cafe prego
4104,Caffe Caldesi,Caffe Caldesi
2585,Caffe Casbah,Caffe Casbah
9318,Caffe Concerto,Caffe Concerto
11366,Caffe Concerto - Westfield,Caffe Concerto - Westfield
11498,Caffe Concerto Knightsbridge,Caffe Concerto Knightsbridge
5417,Caffe D'Oro,Caffe D'Oro
8012,Caffe Deniro,Caffe Deniro
5191,Caffe Nero,Caffe Nero
9201,Caffe Paradiso,Caffe Paradiso
7319,Caffe Quattro,Caffe Quattro
7646,Caffe Rei,Caffe Rei
2397,Caffe Roma,Caffe Roma
8697,Caffe Vergnano 1882,Caffe Vergnano 1882
6778,Caffe al Fresco,Caffe al Fresco
6739,Caffe la Rocca,Caffe la Rocca
2940,Caffe-In,Caffe-In
6219,Caffeine London,Caffeine London
2084,Caffettino,Caffettino
11103,Cagney's Restaurant,Cagney's Restaurant
6267,Cah Chi,Cah Chi
1336,Cahchi Restaurant,Cahchi Restaurant
128,Cahoots,Cahoots
8272,Cake Boutique SW11,Cake Boutique SW11
8662,Calcutta Street,Calcutta Street
1279,Caldo Bar and Kitchen,Caldo Bar and Kitchen
3642,Caledonian Cafe,Caledonian Cafe
4450,Caledonian Kebabs And Burgers,Caledonian Kebabs And Burgers
8066,Cali Cafe,Cali Cafe
9151,Callaghans,Callaghans
6473,Callooh Callay,Callooh Callay
2101,Calthorpe Arms,Calthorpe Arms
3726,Cambio de Tercio,Cambio de Tercio
6711,Camden Bakery,Camden Bakery
2391,Camden Pizza Co,Camden Pizza Co
3459,Camden Pizza Co.,Camden Pizza Co.
6825,Camden's Daughter,Camden's Daughter
9487,Camile Thai Tooting Bec,Camile Thai Tooting Bec
2963,Camilya of Mensa,Camilya of Mensa
588,Caminata,Caminata
1957,Caminetto Restaurant,Caminetto Restaurant
3282,Camino,Camino
5376,Camino Bankside,Camino Bankside
5166,Camino Blackfriars,Camino Blackfriars
5008,Camino Monument,Camino Monument
2769,Camisa And Son,Camisa And Son
9934,Campania Gastronomia,Campania Gastronomia
10070,Campbell's Canal Cafe,Campbell's Canal Cafe
4109,Canada Water Cafe,Canada Water Cafe
10183,Canal 125,Canal 125
2613,Canaletes Tapas & Wine,Canaletes Tapas & Wine
1442,Candella,Candella
6802,Candid Cafe,Candid Cafe
4546,Canela,Canela
1756,Canham,Canham
5681,Cannons Traditional Fish and Chips,Cannons Traditional Fish and Chips
1339,Canonbury Kitchen,Canonbury Kitchen
10162,Canova Hall,Canova Hall
9363,Canteen,Canteen
11602,Canteen - Royal Festival Hall,Canteen - Royal Festival Hall
11119,Canteen - Spitalfields,Canteen - Spitalfields
29,Cantina Laredo,Cantina Laredo
3167,Cantina del Ponte,Cantina del Ponte
991,Canto Corvino Restaurant & Bar,Canto Corvino Restaurant & Bar
8024,Canton,Canton
979,Canton Element Chinese Restaurant,Canton Element Chinese Restaurant
4634,Canvas & Cream,Canvas & Cream
2749,Capeesh,Capeesh
7410,Caphe Guests,Caphe Guests
8718,Caphe Pho,Caphe Pho
5642,Capital Kebab House,Capital Kebab House
4655,Capital Restaurant,Capital Restaurant
7468,Capital noodle Bar,Capital noodle Bar
6504,Capote y toros,Capote y toros
8547,Capovolti Southgate,Capovolti Southgate
705,Cappadocia,Cappadocia
6689,Cappadocia Ocakbasi,Cappadocia Ocakbasi
4529,Cappone Pizzeria,Cappone Pizzeria
1544,Capricci,Capricci
4247,Caprini Restaurant,Caprini Restaurant
7366,Capsicum Deli,Capsicum Deli
1375,Captain Corelli,Captain Corelli
10548,Captain Da Dera,Captain Da Dera
8145,Captains Fish Bar,Captains Fish Bar
512,Caraffini,Caraffini
661,Caravaggio,Caravaggio
1182,Caravan Bankside,Caravan Bankside
3853,Caravan Exmouth Market,Caravan Exmouth Market
3155,Caravan King's Cross,Caravan King's Cross
7453,Caravan Restaurant,Caravan Restaurant
1795,Carbon Soho,Carbon Soho
8947,Cardamom Club,Cardamom Club
2269,Cardinals,Cardinals
10400,Caribbean Scene Quick,Caribbean Scene Quick
2611,Carioca Brixton,Carioca Brixton
5556,Carlo's Kitchen,Carlo's Kitchen
9234,Carlsberg Sports Bar,Carlsberg Sports Bar
6559,Carlton Lounge,Carlton Lounge
9787,"Carluccio""s","Carluccio""s"
3549,Carluccio's,Carluccio's
9523,Carluccio's - Brent Cross,Carluccio's - Brent Cross
3570,Carluccio's - Canary Wharf,Carluccio's - Canary Wharf
10433,Carluccio's - Chiswick,Carluccio's - Chiswick
2994,Carluccio's - Covent Garden,Carluccio's - Covent Garden
10685,Carluccio's - Ealing,Carluccio's - Ealing
10330,Carluccio's - Fulham Road,Carluccio's - Fulham Road
10542,Carluccio's - Hampstead,Carluccio's - Hampstead
10459,Carluccio's - Islington,Carluccio's - Islington
10960,Carluccio's - Market Place,Carluccio's - Market Place
10392,Carluccio's - Marylebone,Carluccio's - Marylebone
5287,Carluccio's - Muswell Hill,Carluccio's - Muswell Hill
10576,Carluccio's - Notting Hill,Carluccio's - Notting Hill
10834,Carluccio's - Putney,Carluccio's - Putney
5237,Carluccio's - Smithfield,Carluccio's - Smithfield
4564,Carluccio's - Spitalfield,Carluccio's - Spitalfield
10826,Carluccio's - St John's Wood,Carluccio's - St John's Wood
11471,Carluccio's - St Pancras,Carluccio's - St Pancras
10071,Carluccio's - Wimbledon,Carluccio's - Wimbledon
5955,Carluccio's Italian Restaurant,Carluccio's Italian Restaurant
11390,Carluccio's South Kensington,Carluccio's South Kensington
11442,Carluccios - St Christophers Place,Carluccios - St Christophers Place
11309,Carluccios - The Brunswick,Carluccios - The Brunswick
11243,Carluccios - Waterloo,Carluccios - Waterloo
9892,Carluccios Earlsfield,Carluccios Earlsfield
3349,Carmel by the Green,Carmel by the Green
722,Carmen Tapas,Carmen Tapas
7888,Carmona Tapas Bar,Carmona Tapas Bar
4560,Carnaby Burger Co,Carnaby Burger Co
10986,Carnaby Restaurant,Carnaby Restaurant
4087,Carnaby Zebrano,Carnaby Zebrano
9634,Carne Cabana,Carne Cabana
9995,Carnevale,Carnevale
637,Carob Tree Restaurant,Carob Tree Restaurant
1626,Carousel,Carousel
1127,Carpe Diem,Carpe Diem
9838,Carpenters Arms,Carpenters Arms
9361,Carrara,Carrara
2066,Carrots + Daikon,Carrots + Daikon
7302,Cartel Battersea,Cartel Battersea
8886,Carve,Carve
11363,Carvery and Grill,Carvery and Grill
2107,Casa Bardotti,Casa Bardotti
4688,Casa Becci Restaurant,Casa Becci Restaurant
3331,Casa Brindisa,Casa Brindisa
10121,Casa Cruz Restaurant,Casa Cruz Restaurant
4830,Casa Madeira,Casa Madeira
562,Casa Malevo,Casa Malevo
11404,Casa Mamma,Casa Mamma
9886,Casa Manolo UK ( 124 Putney Hight Street ),Casa Manolo UK ( 124 Putney Hight Street )
7458,Casa Manolo UK ( 187 King's Rd ),Casa Manolo UK ( 187 King's Rd )
8497,Casa Manolo UK ( 20 St John's Road ),Casa Manolo UK ( 20 St John's Road )
2502,Casa Manolo UK ( 43 Upper Street ),Casa Manolo UK ( 43 Upper Street )
1771,Casa Manolo UK ( 99 Strand ),Casa Manolo UK ( 99 Strand )
3654,Casa Maria,Casa Maria
6553,Casa Mia,Casa Mia
10169,Casa Morita,Casa Morita
3772,Casa Pepe,Casa Pepe
10375,Casa Sibilla,Casa Sibilla
74,Casa Tua Camden,Casa Tua Camden
732,Casa Tua King's Cross,Casa Tua King's Cross
1037,Casa di Stefano,Casa di Stefano
2830,Casanova & daughters - Sicilian Deli,Casanova & daughters - Sicilian Deli
5871,Casareccia,Casareccia
3598,Casella,Casella
864,Casereccio,Casereccio
4700,Casita Andina,Casita Andina
3353,Caspian Lounge,Caspian Lounge
2660,Caspian Sandwich Bar,Caspian Sandwich Bar
370,Casse-Croute,Casse-Croute
1015,Cassio Restaurant,Cassio Restaurant
9225,Cast Iron Bar & Grill,Cast Iron Bar & Grill
7604,Castle Fish Bar,Castle Fish Bar
6395,Castle Tandoori,Castle Tandoori
3316,Castle Turkish Restaurant and Bbq,Castle Turkish Restaurant and Bbq
10381,Cat & Mutton,Cat & Mutton
9437,Catch Bar & Lounge,Catch Bar & Lounge
9619,Catcher in the Rye,Catcher in the Rye
9400,Caterina55,Caterina55
1882,Catford Bridge Tavern,Catford Bridge Tavern
986,Catford Constitutional Club,Catford Constitutional Club
10231,Cats Cafe des artistes,Cats Cafe des artistes
638,Cattle & Co.,Cattle & Co.
5311,Cattle Grid,Cattle Grid
7381,Cattleya,Cattleya
877,Caviar House & Prunier - St James Street,Caviar House & Prunier - St James Street
1266,Caviar House Oyster Bar,Caviar House Oyster Bar
142,Caxton Grill,Caxton Grill
11199,Cay Tre,Cay Tre
11314,Cay Tre Soho,Cay Tre Soho
10377,Cecconi's City of London,Cecconi's City of London
3159,Cecconis,Cecconis
1264,Cedar Lebanese Restaurant,Cedar Lebanese Restaurant
7000,Ceena,Ceena
694,Celeste,Celeste
2691,Cellar.sw4,Cellar.sw4
8488,Cellar107,Cellar107
3841,Cellarium Cafe,Cellarium Cafe
4437,Central Cafe,Central Cafe
8913,Central Cafe - Natural History Museum,Central Cafe - Natural History Museum
8646,Central Station,Central Station
1259,Centro Galego de Londres,Centro Galego de Londres
2419,Centuno,Centuno
1065,Cepages,Cepages
3523,Cereal Killer Cafe,Cereal Killer Cafe
1774,Cesni Authentic Turkish Restaurant,Cesni Authentic Turkish Restaurant
4050,Ceviche Old St,Ceviche Old St
3059,Ceviche Soho,Ceviche Soho
5868,Cha Chaan Teng,Cha Chaan Teng
7001,Chace Brasserie,Chace Brasserie
3131,Chaconia,Chaconia
7119,Chada,Chada
3951,Chai Ki,Chai Ki
1619,Chai Naasto Hammersmith,Chai Naasto Hammersmith
6567,Chai Thali,Chai Thali
5983,Chai Wu,Chai Wu
8511,Chai's Garden,Chai's Garden
4543,Chakra,Chakra
7937,Chalet Cafe Kingsland Road,Chalet Cafe Kingsland Road
2621,Chalet Ciro 1952,Chalet Ciro 1952
10821,Chambeli Restaurant,Chambeli Restaurant
578,Chamberlain's Restaurant,Chamberlain's Restaurant
1752,Chambers,Chambers
946,Chamisse,Chamisse
5468,Chamomile Cafe & Restaurant,Chamomile Cafe & Restaurant
1177,Champagne + Fromage - Greenwich,Champagne + Fromage - Greenwich
4915,Champagne Charlies,Champagne Charlies
1523,Champagne+Fromage - Brixton Village,Champagne+Fromage - Brixton Village
327,Champagne+Fromage - Covent Garden,Champagne+Fromage - Covent Garden
3838,Champor-Champor,Champor-Champor
7017,Chan's Restaurant,Chan's Restaurant
2024,Chandni Restaurant,Chandni Restaurant
3698,Chandos,Chandos
5813,Chang Thai Restaurant,Chang Thai Restaurant
10023,Chang's Noodles,Chang's Noodles
2415,Chango Empanadas Wimbledon,Chango Empanadas Wimbledon
9039,Chantal cafe,Chantal cafe
3312,Chao Kitchen,Chao Kitchen
2191,Chao!Now,Chao!Now
4939,Chaopraya Eat-Thai,Chaopraya Eat-Thai
1943,Chapati Club,Chapati Club
3669,Chapters,Chapters
2530,Charcoal Grill Kebab House,Charcoal Grill Kebab House
7513,Charcoal Kebab House,Charcoal Kebab House
3119,Charcoal Restaurant,Charcoal Restaurant
8479,Chargrill,Chargrill
10841,Charles Dickens Coffee House,Charles Dickens Coffee House
6352,Charles Lamb Pub,Charles Lamb Pub
7777,Charlie Chapatti,Charlie Chapatti
4058,Charlotte's Bistro,Charlotte's Bistro
3995,Charlotte's Place,Charlotte's Place
11003,Charlotte's W5,Charlotte's W5
1451,Chaseside Indian Restaurant and Takeaway,Chaseside Indian Restaurant and Takeaway
7022,Chatica,Chatica
3432,Chatkhara,Chatkhara
6362,Chatkhara Restaurant,Chatkhara Restaurant
8842,Chatsworth Bar,Chatsworth Bar
10297,Chaudhry's Buffet Restaurant,Chaudhry's Buffet Restaurant
1568,Chayada Thai Cuisine,Chayada Thai Cuisine
6516,Che Cosa,Che Cosa
5651,"CheckMate Bar, Lounge and Restaurant","CheckMate Bar, Lounge and Restaurant"
2390,Cheddar Deli,Cheddar Deli
6929,CheeMc,CheeMc
1460,Cheeky Burger,Cheeky Burger
5394,Cheeky Chicos,Cheeky Chicos
3972,Cheers Apero - Wine Bar Restaurant,Cheers Apero - Wine Bar Restaurant
5118,Cheezelo,Cheezelo
7873,Chef's Treat,Chef's Treat
1542,Chelsea Bun Diner,Chelsea Bun Diner
3812,Chelsea Creperie,Chelsea Creperie
8750,Chelsea Deli,Chelsea Deli
9346,Chelsea Gourmet Oriental,Chelsea Gourmet Oriental
10475,Chelsea Potter,Chelsea Potter
9421,Chelsea Riverside Brasserie,Chelsea Riverside Brasserie
854,Cheneston's Restaurant,Cheneston's Restaurant
9578,Chennai Dosa,Chennai Dosa
6433,Chennai Spice,Chennai Spice
2291,Cherry On The Top,Cherry On The Top
34,Chettinad Restaurant,Chettinad Restaurant
10586,Cheyne Walk Brasserie,Cheyne Walk Brasserie
1441,Chez Abir Restaurant,Chez Abir Restaurant
323,Chez Antoinette,Chez Antoinette
4554,Chez Bob Belsize Park,Chez Bob Belsize Park
5943,Chez Bob Whetstone,Chez Bob Whetstone
2257,Chez Boubier,Chez Boubier
90,Chez Bruce,Chez Bruce
357,Chez Elles,Chez Elles
8591,Chez Gerard - Rupert Street,Chez Gerard - Rupert Street
4848,Chez Mal,Chez Mal
651,Chez Vous,Chez Vous
9004,Chez nous,Chez nous
7642,Chi - Fresh Taste of Vietnam,Chi - Fresh Taste of Vietnam
5584,Chi Kitchen,Chi Kitchen
1393,Chi Noodles & Wine Bar,Chi Noodles & Wine Bar
6921,Chi Oriental Restaurant,Chi Oriental Restaurant
2221,Chianti Italian Restaurant,Chianti Italian Restaurant
527,Chicago Rib Shack,Chicago Rib Shack
6257,Chicago Rib Shack Aldgate,Chicago Rib Shack Aldgate
10018,Chicago Rib Shack Camden,Chicago Rib Shack Camden
5697,Chicama,Chicama
2729,Chicco d'oro,Chicco d'oro
5381,Chick 'n' Sours - Seven Dials,Chick 'n' Sours - Seven Dials
1029,Chick N' Sours,Chick N' Sours
1418,Chick-King,Chick-King
8202,Chicken & Pizza Spot,Chicken & Pizza Spot
7838,Chicken Cottage,Chicken Cottage
6189,Chicken Express,Chicken Express
2549,Chicken Kitchen,Chicken Kitchen
11167,Chicken Liquor,Chicken Liquor
8753,Chicken Palace,Chicken Palace
782,Chicken Shop,Chicken Shop
10022,Chicken Shop / Dirty Burger,Chicken Shop / Dirty Burger
1087,Chicken Society,Chicken Society
8586,Chicken diner,Chicken diner
1225,Chicks on Fire,Chicks on Fire
1589,Chifafa,Chifafa
9587,Chikara Teppanyaki,Chikara Teppanyaki
5351,Chilango,Chilango
9464,Chilango London Wall,Chilango London Wall
1105,"Chilango, London Bridge","Chilango, London Bridge"
6378,Chilangos,Chilangos
1933,Chilli 'n' Chocolate,Chilli 'n' Chocolate
5256,Chilli Chutney Waterloo,Chilli Chutney Waterloo
10657,Chilli Cool,Chilli Cool
11523,Chilli Shaker,Chilli Shaker
10689,Chillies Restaurant,Chillies Restaurant
6502,Chillies Tandoori,Chillies Tandoori
2766,Chimayo,Chimayo
4421,Chimichanga,Chimichanga
11205,China Boulevard on the River,China Boulevard on the River
11606,China Buffet,China Buffet
8072,China China,China China
8266,China City,China City
11089,China City - Russell Square,China City - Russell Square
9219,China City Buffet & Restaurant,China City Buffet & Restaurant
10238,China House,China House
7075,China Noodle Restaurant,China Noodle Restaurant
11534,China Palace,China Palace
4198,China Plate Espresso,China Plate Espresso
3278,China Tang at The Dorchester,China Tang at The Dorchester
5246,China Town,China Town
8234,China-Local,China-Local
1979,Chinese Canteen,Chinese Canteen
9397,Chinese Chef,Chinese Chef
4585,Chinese Cricket Club,Chinese Cricket Club
9423,Chinese Laundry,Chinese Laundry
9443,Chinese Overseas,Chinese Overseas
9304,Chinese Restaurant Bao and Noodle,Chinese Restaurant Bao and Noodle
2573,Chinipan India Restaurant,Chinipan India Restaurant
122,Chino Latino,Chino Latino
3185,Chinoiserie,Chinoiserie
2290,Chinwag,Chinwag
7620,Chip Shop,Chip Shop
11207,Chip+Fish,Chip+Fish
4159,Chipotle,Chipotle
3813,Chipotle - London Wall,Chipotle - London Wall
6819,Chipotle Mexican Grill,Chipotle Mexican Grill
4460,Chippy,Chippy
2978,Chiquito - Leicester Square,Chiquito - Leicester Square
11286,Chiquito - London - O2,Chiquito - London - O2
11510,Chiquito - Park Royal,Chiquito - Park Royal
9873,Chiquito Enfield,Chiquito Enfield
5452,Chisou,Chisou
4467,Chisou Japanese Restaurant,Chisou Japanese Restaurant
4095,Chiswell Street Dining Rooms,Chiswell Street Dining Rooms
9717,Chiswick House,Chiswick House
1153,Chit Chaat Chai,Chit Chaat Chai
7816,Chives,Chives
8790,Chompoo,Chompoo
9766,Chop Chop Noodle Bar,Chop Chop Noodle Bar
11163,Chop Chop Noodle bar,Chop Chop Noodle bar
7344,Chop Pot,Chop Pot
3922,Chop Shop,Chop Shop
7876,Chop'd,Chop'd
8638,Chop'd - Selfridges Foodhall,Chop'd - Selfridges Foodhall
8464,Chop'd CityPoint,Chop'd CityPoint
8205,Chop'd Long Acre,Chop'd Long Acre
9042,Chopstix,Chopstix
10513,Chopstix Noodle Bar,Chopstix Noodle Bar
5185,Chosen Bun,Chosen Bun
3061,Chotto Matte,Chotto Matte
8839,Chozen Noodle,Chozen Noodle
9882,Chris's Fish Bar,Chris's Fish Bar
5528,ChrisKitch,ChrisKitch
1871,Chriskitch Hoxton,Chriskitch Hoxton
3171,Christopher's,Christopher's
2481,Chu Chin Chow,Chu Chin Chow
7527,Chuck Burger Bar,Chuck Burger Bar
2057,Chucs Bar & Grill,Chucs Bar & Grill
8966,Chucs Notting Hill,Chucs Notting Hill
6823,Chunnel Bar,Chunnel Bar
7090,Churchfields,Churchfields
3006,Churrasco Chicken,Churrasco Chicken
4784,Churros Camden,Churros Camden
10729,Chutney,Chutney
198,Chutney Mary,Chutney Mary
8053,Chutney Palate,Chutney Palate
2258,Chutney Tandoori,Chutney Tandoori
5715,Chutneys,Chutneys
3226,Ciao Bella,Ciao Bella
8754,Ciao Ciao,Ciao Ciao
8417,Ciao Italian Kitchen,Ciao Italian Kitchen
